,Name,Usn,mail,mobile
0,yogeshwar,1MS21CY097,yogeshwar583@gmail.com,7214417867
1,gaurav,1MS22ME084,gaurav654@aol.com,8750147594
2,prabhakar pandey,1MS21EI035,prabhakarpandey134@gmail.com,9710585085
3,disha,1MS23AI013-T,disha923@aol.com,9470519813
4,vinod kumar,1MS21AI034,vinodkumar747@gmail.com,8736433635
5,kumari preeti,1MS23IS026-T,kumaripreeti269@gmail.com,7086399062
6,pyar mohmad,1MS23CS087-T,pyarmohmad163@gmail.com,8179330996
7,jai parkash,1MS22CI026,jaiparkash304@gmail.com,8891838305
8,krishan,1MS23CI067-T,krishan507@aol.com,9531686790
9,rajesh,1MS21IS059,rajesh339@gmail.com,7602657005
10,satya dev singh,1MS23CS056-T,satyadevsingh607@gmail.com,7498723101
11,krishan kumar,1MS21CS030,krishankumar74@yahoo.com,8442864940
12,ashok sharma,1MS21IS082,ashoksharma553@yahoo.com,7247431568
13,sanjay,1MS21CI068,sanjay970@gmail.com,9245360740
14,vishal ahemad,1MS21CS027,vishalahemad145@outlook.com,9798468086
15,pramod kumar s/o,1MS23AL053-T,pramodkumars/o1000@outlook.com,8440900149
16,manoj joshi,1MS23AI032-T,manojjoshi757@outlook.com,7859053089
17,md. imran,1MS22CS012,md.imran538@gmail.com,9766169837
18,kapil,1MS21CI048,kapil37@hotmail.com,8420766607
19,dalip kumar,1MS23EI054-T,dalipkumar390@gmail.com,7675430154
20,ashok kumar,1MS23CI056-T,ashokkumar989@gmail.com,8539931175
21,mahesh kumar,1MS23EC063-T,maheshkumar953@yahoo.com,7775669309
22,om prakash,1MS23ME056-T,omprakash849@gmail.com,8315787079
23,guddu,1MS23CS021-T,guddu666@gmail.com,7286683810
24,davinder,1MS23IS095-T,davinder738@yahoo.com,8069272233
25,rajesh,1MS23ME045-T,rajesh828@gmail.com,7232578462
26,mr. kamal kumar,1MS23ME076-T,mr.kamalkumar363@outlook.com,7570352923
27,deepak,1MS23EC088-T,deepak960@gmail.com,8951614631
28,dharamveer,1MS23CI097-T,dharamveer140@aol.com,9626848808
29,anwar hussain,1MS23IS078-T,anwarhussain959@gmail.com,8052089940
30,kanta prasad,1MS21IS090,kantaprasad576@hotmail.com,7609543200
31,tasleem,1MS21CI045,tasleem190@yahoo.com,9935049231
32,vishal,1MS23AI029-T,vishal756@outlook.com,9865652413
33,asharam,1MS23CY059-T,asharam620@gmail.com,9503342850
34,tilakraj,1MS23ME092-T,tilakraj682@aol.com,8042514484
35,jitendra kumar,1MS23CS027-T,jitendrakumar811@gmail.com,7305682187
36,bhajan singh rodhan,1MS23CY073-T,bhajansinghrodhan514@gmail.com,9692161855
